0,3.23
1,3.23
2,3.18
3,3.29
4,3.3
5,3.26
6,3.33
7,3.37
8,3.42
9,3.38
10,3.52
11,3.6
12,3.92
13,4.06
14,4.28
15,4.49
16,4.75
17,4.88
18,5.02
19,4.96
20,4.99
21,4.91
22,4.88
23,4.86
24,4.81
25,4.82
26,4.67
27,4.75
28,4.75
29,4.73
30,4.62
31,4.62
32,4.6
33,4.58
34,4.59
35,4.54
36,4.45
37,4.46
38,4.41
39,4.55
40,4.55
41,4.51
42,4.5
43,4.46
44,4.48
45,4.33
46,4.36
47,4.38
48,4.45
49,4.46
50,4.34
51,4.33
52,4.31
53,4.44
54,4.38
55,4.31
56,4.35
57,4.43
58,4.49
59,4.43
60,4.6
61,4.51
62,4.6
63,4.53
64,4.36
65,4.48
66,4.57
67,4.44
68,4.42
69,4.47
70,4.32
71,4.22
72,4.21
73,4.23
74,4.03
75,3.95
76,4.06
77,4.08
78,4.05
79,4.05
80,3.9
81,3.82
82,3.8
83,3.83
84,3.82
85,3.95
86,4.06
87,4.18
88,4.11
89,4.08
90,4.06
91,4.03
92,3.98
93,3.9
94,3.84
95,3.77
96,3.75
97,3.83
98,3.9
99,3.78
100,3.81
101,3.92
102,3.86
103,3.88
104,3.92
105,3.85
106,4
107,4.04
108,4.11
109,4.12
110,4.04
111,4.02
112,4.03
113,3.93
114,3.81
115,3.71
116,3.58
117,3.54
118,3.44
119,3.3
120,3.27
121,3.26
122,3.18
123,3.1
124,3.27
125,3.14
126,3.16
127,3.37
128,3.71
129,3.9
130,3.67
131,3.81
132,4.2
133,4.41
134,4.7
135,4.86
136,4.82
137,4.8
138,4.89
139,4.87
140,4.98
141,4.81
142,4.75
143,4.78
144,4.82
145,4.74
146,4.77
147,4.82
148,4.71
149,4.75
150,4.75
151,4.66
152,4.64
153,4.62
154,4.66
155,4.51
156,4.78
157,4.74
158,4.69
159,4.66
160,4.69
161,4.65
162,4.66
163,4.7
164,4.68
165,4.68
166,4.48
167,4.41
168,4.48
169,4.5
170,4.5
171,4.53
172,4.46
173,4.38
174,4.28
175,4.32
176,4.39
177,4.46
178,4.44
179,4.48
180,4.39
181,4.46
182,4.48
183,4.37
184,4.4
185,4.59
186,4.47
187,4.4
188,4.46
189,4.39
190,4.28
191,4.13
192,3.76
193,3.92
194,3.84
195,3.91
196,3.82
197,3.74
198,3.82
199,3.57
200,3.53
201,3.53
202,3.63
203,3.61
204,3.78
205,3.82
206,3.77
207,3.78
208,3.71
209,3.64
210,3.57
211,3.6
212,3.61
213,3.65
214,3.56
215,3.54
216,3.53
217,3.48
218,3.72
219,3.94
220,3.98
221,4.23
222,4.38
223,4.44
224,4.39
225,4.28
226,4.29
227,4.19
228,4.19
229,4.02
230,4.3
231,4.22
232,4.17
233,3.97
234,3.84
235,3.71
236,3.66
237,3.47
238,3.51
239,3.44
240,3.44
241,3.54
242,3.68
243,3.78
244,4.05
245,4.17
246,4.38
247,4.31
248,4.38
249,4.36
250,4.5
251,4.58
252,4.63
253,4.52
254,4.57
255,4.37
256,4.43
257,4.55
258,4.51
259,4.52
260,4.46
261,4.52
262,4.45
